Date,Product,Region,Sales_Channel,Unit_Price,Quantity_Sold,Discount,Revenue,COGS,Profit,Payment_Status,ProfitMargin,Month,MonthName,Year
1/2/2024,Dangote Sulfate Resistant Cement,Kano,Wholesale,7007.68,74,2.61,505033.69,368596.05,136437.64,Pending,27.01555217,1,Jan,2024
3/19/2024,Dangote Sulfate Resistant Cement,Ogun,Online,7453.5,492,1.59,3608814.76,2526376.72,1082438.04,Credit,29.994281,3,Mar,2024
9/7/2024,Dangote 3X Cement,Lagos,Retail,6378.72,445,2.42,2769837.96,2005210.99,764626.98,Pending,27.60547696,9,Sep,2024
10/17/2024,Dangote 3X Cement,Lagos,Online,5985.99,55,2.93,319583.03,240732.5,78850.52,Pending,24.67293711,10,Oct,2024
3/6/2024,Dangote 42.5R Cement,Kano,Wholesale,6065.06,466,1.82,2774878.97,2210014.32,564864.66,Pending,20.35637107,3,Mar,2024
12/31/2024,Dangote Sulfate Resistant Cement,Abuja,Online,7149.88,244,2.7,1697467.31,1264865.41,432601.9,Pending,25.4851388,12,Dec,2024
4/25/2024,Dangote 3X Cement,Rivers,Wholesale,6088.31,137,1.77,819334.93,574123.62,245211.31,Paid,29.9280918,4,Apr,2024
4/27/2024,Dangote 3X Cement,Lagos,Retail,5570.86,141,0.84,778893.13,583033.8,195859.34,Pending,25.14585538,4,Apr,2024
10/19/2024,Dangote 42.5R Cement,Ogun,Retail,6607.5,117,0.28,770912.88,590440.85,180472.04,Credit,23.41017314,10,Oct,2024
8/4/2024,Dangote 42.5R Cement,Abuja,Online,5854.17,354,2.95,2011241.08,1427662.96,583578.12,Cash,29.01582142,8,Aug,2024
6/22/2024,Dangote 3X Cement,Ogun,Wholesale,5690.21,249,0.42,1410911.47,1013526.57,397384.9,Cash,28.16511939,6,Jun,2024
5/7/2024,Dangote 3X Cement,Abuja,Online,5597.91,353,3,1916780.36,1501994.38,414785.98,Paid,21.63972402,5,May,2024
5/1/2024,Dangote Premium Cement,Abuja,Retail,6481.36,462,1.2,2958455.66,2088265.99,870189.67,Cash,29.41364583,5,May,2024
1/2/2024,Dangote 42.5R Cement,Rivers,Retail,6085.25,376,2.87,2222386.85,1776892.22,445494.63,Cash,20.04577331,1,Jan,2024
3/20/2024,Dangote Premium Cement,Rivers,Wholesale,6968.71,316,2.21,2153445.68,1520538.86,632906.82,Credit,29.39042419,3,Mar,2024
1/30/2024,Dangote 3X Cement,Kano,Retail,6002.85,456,1.59,2693776.54,1900965.66,792810.87,Paid,29.43120404,1,Jan,2024
4/5/2024,Dangote 3X Cement,Kano,Wholesale,6175.21,140,1.21,854068.59,678266.78,175801.81,Pending,20.58403881,4,Apr,2024
10/23/2024,Dangote 3X Cement,Kano,Wholesale,5919.22,318,1.7,1850312.66,1353757.17,496555.48,Credit,26.83630128,10,Oct,2024
4/14/2024,Dangote Sulfate Resistant Cement,Ogun,Retail,6895.79,363,1.94,2454610.24,1830457.98,624152.26,Paid,25.42775427,4,Apr,2024
1/5/2024,Dangote 42.5R Cement,Kano,Online,6796.1,57,1.61,381140.92,286079.98,95060.94,Pending,24.941153,1,Jan,2024
6/27/2024,Dangote 3X Cement,Ogun,Retail,5784.99,244,2.5,1376249.12,1060199.01,316050.12,Paid,22.96460106,6,Jun,2024
12/7/2024,Dangote Sulfate Resistant Cement,Lagos,Wholesale,6764.47,475,0.32,3202841.26,2419177.63,783663.63,Credit,24.46776366,12,Dec,2024
5/24/2024,Dangote Premium Cement,Rivers,Wholesale,6687.5,456,0.79,3025408.95,2265587.13,759821.82,Paid,25.11468144,5,May,2024
2/17/2024,Dangote 42.5R Cement,Rivers,Wholesale,5803.55,414,0.39,2393299.29,1909804.48,483494.81,Pending,20.20202037,2,Feb,2024
8/14/2024,Dangote 42.5R Cement,Kano,Wholesale,5911.87,472,2.07,2732641.31,1953580.1,779061.2,Paid,28.50945703,8,Aug,2024
7/8/2024,Dangote Premium Cement,Abuja,Wholesale,6041.83,206,2.7,1211012.32,944120.02,266892.3,Paid,22.03877662,7,Jul,2024
7/2/2024,Dangote Premium Cement,Ogun,Online,6102.79,419,1.68,2514110.25,1979789.6,534320.65,Pending,21.25287266,7,Jul,2024
5/1/2024,Dangote Premium Cement,Ogun,Retail,6024.79,397,2.77,2325587.62,1809862.17,515725.45,Cash,22.17613499,5,May,2024
12/8/2024,Dangote Premium Cement,Rivers,Wholesale,6787.37,75,1.15,503198.64,354187.67,149010.98,Cash,29.61275492,12,Dec,2024
4/23/2024,Dangote Premium Cement,Abuja,Retail,6305.19,427,2.61,2622046.68,1893884.27,728162.41,Pending,27.77076455,4,Apr,2024
7/23/2024,Dangote Sulfate Resistant Cement,Rivers,Wholesale,7466.89,162,1.05,1196935,898827.05,298107.95,Credit,24.9059431,7,Jul,2024
1/15/2024,Dangote 3X Cement,Rivers,Wholesale,6080.59,155,0.11,941454.71,715182.78,226271.93,Credit,24.03428732,1,Jan,2024
6/9/2024,Dangote 42.5R Cement,Kano,Online,5915.65,480,1.73,2790388.44,2024349.38,766039.06,Cash,27.452775,6,Jun,2024
1/1/2024,Dangote Premium Cement,Rivers,Retail,6069.97,360,2.76,2124877.98,1619827.51,505050.47,Paid,23.76844575,1,Jan,2024
6/2/2024,Dangote Sulfate Resistant Cement,Abuja,Retail,6902.4,171,1.66,1160717.25,834769.28,325947.96,Cash,28.08159868,6,Jun,2024
12/12/2024,Dangote Premium Cement,Kano,Online,6300.95,300,2.5,1843027.88,1346124.51,496903.36,Pending,26.96125031,12,Dec,2024
8/8/2024,Dangote Sulfate Resistant Cement,Abuja,Retail,6942.16,129,1.53,881836.9,687280.35,194556.55,Pending,22.0626456,8,Aug,2024
12/3/2024,Dangote 3X Cement,Rivers,Online,6163.85,337,1.01,2056237.55,1607653.59,448583.96,Pending,21.8157654,12,Dec,2024
12/10/2024,Dangote Sulfate Resistant Cement,Ogun,Wholesale,6647.35,43,0.73,283749.45,212106.58,71642.87,Paid,25.24863749,12,Dec,2024
8/21/2024,Dangote 42.5R Cement,Kano,Wholesale,6518.35,216,1.48,1387125.74,1004831.73,382294.01,Paid,27.56015543,8,Aug,2024
2/24/2024,Dangote 42.5R Cement,Ogun,Wholesale,6604.11,376,1.55,2444656.61,1723536.3,721120.31,Pending,29.49781606,2,Feb,2024
3/3/2024,Dangote 42.5R Cement,Ogun,Retail,6467.58,306,1.79,1943653.96,1545212.59,398441.36,Cash,20.49960375,3,Mar,2024
11/9/2024,Dangote 42.5R Cement,Kano,Retail,6697.21,400,2.58,2609768.79,1944295.96,665472.84,Pending,25.49930256,11,Nov,2024
11/22/2024,Dangote Sulfate Resistant Cement,Kano,Retail,7126.75,160,1.32,1125228.3,867949.9,257278.4,Pending,22.86455113,11,Nov,2024
5/19/2024,Dangote Sulfate Resistant Cement,Rivers,Online,6580.58,97,0.69,633911.88,487728.62,146183.26,Pending,23.06050172,5,May,2024
2/2/2024,Dangote 42.5R Cement,Abuja,Retail,6342.61,232,0.19,1468689.7,1150408.66,318281.04,Cash,21.67108818,2,Feb,2024
10/26/2024,Dangote 3X Cement,Kano,Retail,5976.98,200,0.9,1184637.44,875445.48,309191.95,Cash,26.10013322,10,Oct,2024
10/2/2024,Dangote Premium Cement,Abuja,Wholesale,6272.94,268,0.09,1679634.89,1232201.91,447432.98,Cash,26.6387048,10,Oct,2024
3/25/2024,Dangote 42.5R Cement,Ogun,Online,6334.12,484,1.18,3029538.65,2291661.79,737876.86,Paid,24.35608009,3,Mar,2024
2/12/2024,Dangote 42.5R Cement,Ogun,Retail,5981.73,153,1.14,904771.36,652490.37,252280.99,Credit,27.88339697,2,Feb,2024
6/21/2024,Dangote 42.5R Cement,Rivers,Retail,6052.27,61,1.41,363982.91,282051.24,81931.67,Paid,22.50975739,6,Jun,2024
6/28/2024,Dangote Premium Cement,Lagos,Online,6040.26,35,2.85,205383.94,147863.31,57520.63,Paid,28.00639135,6,Jun,2024
11/14/2024,Dangote Premium Cement,Ogun,Wholesale,6473.56,78,1.69,496404.23,358302.82,138101.42,Credit,27.8203552,11,Nov,2024
7/7/2024,Dangote Premium Cement,Kano,Online,6963.73,387,0.34,2685800.63,2100108.41,585692.23,Credit,21.80698833,7,Jul,2024
2/25/2024,Dangote 3X Cement,Rivers,Online,6177.35,212,1.19,1294013.98,998333.69,295680.29,Paid,22.84985283,2,Feb,2024
10/30/2024,Dangote Premium Cement,Lagos,Online,6772.48,455,2.05,3018308.09,2355948.82,662359.27,Paid,21.94472036,10,Oct,2024
6/26/2024,Dangote 42.5R Cement,Rivers,Wholesale,6305.96,194,0.04,1222866.9,907374.42,315492.48,Cash,25.79941284,6,Jun,2024
2/24/2024,Dangote 42.5R Cement,Rivers,Online,6691.58,255,2.12,1670178.22,1241858.87,428319.35,Credit,25.64512846,2,Feb,2024
11/11/2024,Dangote 42.5R Cement,Abuja,Retail,6625.73,323,0.81,2122775.89,1666742.74,456033.15,Paid,21.48286836,11,Nov,2024
5/22/2024,Dangote 42.5R Cement,Ogun,Retail,6369.85,362,1.14,2279598.6,1602261.47,677337.13,Credit,29.71299991,5,May,2024
4/3/2024,Dangote 42.5R Cement,Ogun,Retail,6597.83,194,0.84,1269227.2,964124.65,305102.54,Credit,24.03844954,4,Apr,2024
10/11/2024,Dangote 3X Cement,Kano,Wholesale,5585.61,388,1.22,2140776.64,1617394.47,523382.16,Pending,24.44823763,10,Oct,2024
12/19/2024,Dangote 42.5R Cement,Abuja,Retail,6592.93,67,0.88,437839.12,324193.65,113645.47,Pending,25.95598813,12,Dec,2024
6/5/2024,Dangote Sulfate Resistant Cement,Abuja,Online,7030.92,237,2.99,1616504.83,1220523.94,395980.89,Credit,24.49611549,6,Jun,2024
12/25/2024,Dangote 42.5R Cement,Rivers,Retail,6051.4,81,2.16,479575.87,350836.03,128739.84,Pending,26.84451993,12,Dec,2024
4/8/2024,Dangote Premium Cement,Abuja,Retail,6724.59,409,1.57,2707176.7,1971636.44,735540.26,Paid,27.17001295,4,Apr,2024
4/9/2024,Dangote Sulfate Resistant Cement,Ogun,Retail,6679.44,27,2.12,176521.57,125799.56,50722.01,Paid,28.73417113,4,Apr,2024
1/28/2024,Dangote Sulfate Resistant Cement,Ogun,Online,7368.46,271,0.31,1990662.42,1395905.32,594757.1,Credit,29.87734605,1,Jan,2024
8/28/2024,Dangote 42.5R Cement,Abuja,Retail,5984.36,46,0.76,273188.43,214773.17,58415.25,Paid,21.38276866,8,Aug,2024
2/3/2024,Dangote 42.5R Cement,Abuja,Wholesale,6377.02,371,0.16,2362089.02,1688704.11,673384.91,Credit,28.50802422,2,Feb,2024
2/13/2024,Dangote Premium Cement,Lagos,Online,6764.44,330,1.79,2192307.65,1670191.69,522115.97,Cash,23.81581664,2,Feb,2024
8/18/2024,Dangote 42.5R Cement,Rivers,Online,6790.03,176,1.71,1174610.01,829301.72,345308.29,Paid,29.39769686,8,Aug,2024
4/16/2024,Dangote Premium Cement,Rivers,Online,6081.19,142,0.52,859038.63,607775.4,251263.23,Paid,29.24935169,4,Apr,2024
7/28/2024,Dangote 42.5R Cement,Kano,Retail,6091.26,138,0.86,833364.77,606916.09,226448.68,Cash,27.17281653,7,Jul,2024
2/6/2024,Dangote Premium Cement,Rivers,Online,6589.79,431,2.8,2760673.9,2049838.74,710835.17,Pending,25.74861051,2,Feb,2024
11/27/2024,Dangote Premium Cement,Rivers,Wholesale,6071.41,104,2.38,616398.69,468157.52,148241.17,Credit,24.04955955,11,Nov,2024
8/12/2024,Dangote 3X Cement,Abuja,Online,5804.09,226,2.83,1274602.54,956012.09,318590.45,Cash,24.99527814,8,Aug,2024
8/12/2024,Dangote 3X Cement,Kano,Wholesale,6389.42,396,0.97,2505667.28,1816700.96,688966.32,Paid,27.49632106,8,Aug,2024
4/27/2024,Dangote 3X Cement,Rivers,Online,5540.23,407,0.53,2242922.78,1686445.53,556477.25,Cash,24.81036151,4,Apr,2024
5/22/2024,Dangote Premium Cement,Kano,Retail,6634.78,271,2.91,1745702.84,1304041.84,441661,Cash,25.29989583,5,May,2024
6/19/2024,Dangote Sulfate Resistant Cement,Lagos,Wholesale,6829.8,375,1.49,2523013.49,1933280.17,589733.33,Cash,23.37416476,6,Jun,2024
10/8/2024,Dangote 3X Cement,Abuja,Wholesale,5814.52,185,0.35,1071921.3,833155.97,238765.33,Paid,22.27452053,10,Oct,2024
12/2/2024,Dangote 42.5R Cement,Abuja,Wholesale,5987.58,205,1.87,1204500.51,903193.88,301306.63,Cash,25.01506869,12,Dec,2024
1/27/2024,Dangote Premium Cement,Rivers,Online,6131.01,167,1.31,1010465.86,777881.88,232583.98,Paid,23.01750007,1,Jan,2024
1/15/2024,Dangote Premium Cement,Ogun,Retail,6550.84,302,1.22,1954217.77,1411863.84,542353.93,Paid,27.75299347,1,Jan,2024
8/24/2024,Dangote 3X Cement,Ogun,Retail,6432.65,169,1.53,1070484.95,778609.19,291875.76,Cash,27.26575091,8,Aug,2024
8/29/2024,Dangote Premium Cement,Abuja,Online,6144.64,117,2.77,699008.72,524832.58,174176.13,Pending,24.91759044,8,Aug,2024
2/5/2024,Dangote Sulfate Resistant Cement,Abuja,Retail,7434.25,279,0.8,2057562.5,1440821.57,616740.93,Credit,29.97434732,2,Feb,2024
10/27/2024,Dangote 42.5R Cement,Ogun,Retail,6338.58,196,1,1229938.06,954785.26,275152.8,Cash,22.37127291,10,Oct,2024
8/21/2024,Dangote Sulfate Resistant Cement,Ogun,Online,6738.81,216,0.7,1445393.88,1123872.44,321521.44,Paid,22.24455524,8,Aug,2024
6/11/2024,Dangote 42.5R Cement,Abuja,Retail,6788.41,425,2.46,2814101.42,2245883.17,568218.26,Cash,20.19181882,6,Jun,2024
1/19/2024,Dangote Premium Cement,Kano,Online,6331.99,71,2.62,437792.52,325731.04,112061.48,Cash,25.59693802,1,Jan,2024
1/8/2024,Dangote Premium Cement,Abuja,Online,6969.96,58,1.41,398557.65,317618.7,80938.94,Credit,20.30796298,1,Jan,2024
11/15/2024,Dangote 42.5R Cement,Lagos,Retail,6652.34,459,1.6,3004569.28,2389876.34,614692.93,Cash,20.45860397,11,Nov,2024
10/4/2024,Dangote 3X Cement,Kano,Wholesale,5734.77,370,2.76,2063301.43,1650110.03,413191.4,Paid,20.02574098,10,Oct,2024
8/10/2024,Dangote 3X Cement,Lagos,Retail,5666.36,173,2.71,953714.68,671986.51,281728.18,Paid,29.54009054,8,Aug,2024
5/30/2024,Dangote Sulfate Resistant Cement,Rivers,Retail,6645.57,291,1.24,1909881,1467132.45,442748.54,Pending,23.18199616,5,May,2024
3/28/2024,Dangote Premium Cement,Lagos,Online,6870.84,337,2.05,2268005.88,1700475.34,567530.54,Pending,25.02332754,3,Mar,2024
4/28/2024,Dangote 42.5R Cement,Rivers,Retail,6055.33,24,2.7,141404.07,105561.72,35842.35,Credit,25.34746701,4,Apr,2024
12/12/2024,Dangote Premium Cement,Lagos,Retail,6945.24,320,0.9,2202474.51,1753616.61,448857.9,Credit,20.37970918,12,Dec,2024
8/21/2024,Dangote Sulfate Resistant Cement,Ogun,Retail,7353.34,74,0.71,540283.72,409098.65,131185.06,Credit,24.28077233,8,Aug,2024
12/24/2024,Dangote Sulfate Resistant Cement,Lagos,Online,6895.81,24,1.7,162685.95,125037.16,37648.79,Paid,23.14200458,12,Dec,2024
11/6/2024,Dangote 42.5R Cement,Rivers,Wholesale,6407.06,200,0.66,1272954.68,915271.22,357683.46,Credit,28.09867984,11,Nov,2024
12/13/2024,Dangote Premium Cement,Lagos,Online,6646.34,178,2.37,1155010.27,812360.83,342649.44,Credit,29.6663544,12,Dec,2024
3/8/2024,Dangote 3X Cement,Rivers,Retail,6247.48,109,0.6,676889.47,527060.85,149828.62,Credit,22.13487233,3,Mar,2024
9/28/2024,Dangote Sulfate Resistant Cement,Ogun,Retail,7414.05,266,2.9,1914945.32,1396979.7,517965.62,Credit,27.04858539,9,Sep,2024
2/28/2024,Dangote 42.5R Cement,Lagos,Wholesale,6554.15,135,2.58,861982.15,665813.69,196168.46,Cash,22.75783321,2,Feb,2024
10/12/2024,Dangote Sulfate Resistant Cement,Lagos,Retail,6513.92,294,0.37,1908006.64,1405931.03,502075.6,Credit,26.31414323,10,Oct,2024
10/26/2024,Dangote 42.5R Cement,Rivers,Wholesale,6474.84,261,0.08,1688581.29,1331317.15,357264.15,Credit,21.15765182,10,Oct,2024
11/8/2024,Dangote Premium Cement,Lagos,Online,6823.86,485,2.1,3240071.09,2478407.96,761663.13,Paid,23.50760551,11,Nov,2024
3/12/2024,Dangote 3X Cement,Lagos,Retail,6495.93,79,0.29,511690.25,403583.37,108106.88,Pending,21.12740667,3,Mar,2024
7/17/2024,Dangote 42.5R Cement,Rivers,Online,6749.38,376,2.84,2465694.3,1829329.86,636364.45,Pending,25.80873266,7,Jul,2024
7/31/2024,Dangote 3X Cement,Abuja,Online,5908.12,163,0.1,962060.54,709089.6,252970.94,Cash,26.29470075,7,Jul,2024
8/15/2024,Dangote Premium Cement,Rivers,Wholesale,6980.93,208,1.63,1428365.29,1139527.34,288837.96,Credit,20.22157511,8,Aug,2024
2/1/2024,Dangote 42.5R Cement,Rivers,Wholesale,6768.21,454,2.47,2996869.99,2125282.32,871587.66,Pending,29.08326564,2,Feb,2024
11/24/2024,Dangote 3X Cement,Lagos,Retail,5743.57,84,2.36,471073.83,339418.38,131655.45,Pending,27.94794396,11,Nov,2024
10/27/2024,Dangote Premium Cement,Ogun,Retail,6774.37,423,2.7,2788188.43,1952522.51,835665.92,Pending,29.97164435,10,Oct,2024
3/7/2024,Dangote Sulfate Resistant Cement,Ogun,Wholesale,7161.06,33,0.4,235369.72,173190.74,62178.98,Pending,26.41757827,3,Mar,2024
10/28/2024,Dangote Sulfate Resistant Cement,Lagos,Wholesale,6765.37,84,2.23,555618.19,418163,137455.19,Paid,24.73914506,10,Oct,2024
8/31/2024,Dangote 42.5R Cement,Rivers,Online,6393.67,251,1.51,1580578.52,1255835.33,324743.19,Paid,20.54584356,8,Aug,2024
12/3/2024,Dangote Sulfate Resistant Cement,Abuja,Online,7464.03,51,3,369245.56,289758.02,79487.55,Cash,21.52701579,12,Dec,2024
12/17/2024,Dangote 3X Cement,Abuja,Online,6409.7,57,2.7,355488.37,260292.56,95195.81,Pending,26.77888168,12,Dec,2024
2/3/2024,Dangote Premium Cement,Rivers,Online,6633.08,300,2.14,1947339.63,1437312.76,510026.86,Credit,26.19095571,2,Feb,2024
8/20/2024,Dangote 42.5R Cement,Lagos,Online,5914.41,355,1.95,2058673.05,1599375.42,459297.63,Pending,22.31037269,8,Aug,2024
8/8/2024,Dangote 42.5R Cement,Ogun,Retail,6138.93,252,1.2,1528446.24,1181429.71,347016.52,Credit,22.70387475,8,Aug,2024
8/6/2024,Dangote Sulfate Resistant Cement,Rivers,Retail,7453.59,371,2.77,2688683.58,1900128.53,788555.05,Paid,29.32866686,8,Aug,2024
2/17/2024,Dangote 42.5R Cement,Lagos,Online,6538.8,435,0.39,2833284.93,2000293.77,832991.16,Credit,29.40019026,2,Feb,2024
12/9/2024,Dangote 3X Cement,Abuja,Retail,6373.61,404,1.27,2542236.72,2012394.85,529841.88,Paid,20.84156349,12,Dec,2024
5/27/2024,Dangote Sulfate Resistant Cement,Rivers,Wholesale,7077.92,128,0.46,901806.28,674748.54,227057.74,Paid,25.17810588,5,May,2024
6/28/2024,Dangote Sulfate Resistant Cement,Lagos,Retail,7074.1,433,1.29,3023571.5,2286112.04,737459.46,Paid,24.39034301,6,Jun,2024
11/7/2024,Dangote Sulfate Resistant Cement,Lagos,Wholesale,6773.27,410,0.93,2751214.22,2019343,731871.22,Paid,26.60175332,11,Nov,2024
4/2/2024,Dangote Premium Cement,Kano,Online,6400.78,92,2.22,575798.81,459015.89,116782.92,Paid,20.28189673,4,Apr,2024
9/28/2024,Dangote Premium Cement,Abuja,Retail,6453.65,100,1.11,638201.45,492793.37,145408.08,Paid,22.784041,9,Sep,2024
1/27/2024,Dangote Premium Cement,Ogun,Online,6049.76,61,0.82,366009.27,280434.06,85575.21,Cash,23.38061274,1,Jan,2024
11/6/2024,Dangote 42.5R Cement,Abuja,Retail,6015.57,282,0.34,1690623.01,1256118.3,434504.72,Credit,25.70086397,11,Nov,2024
12/13/2024,Dangote 42.5R Cement,Kano,Online,6108.42,132,1.19,796716.33,605450.63,191265.7,Paid,24.00675031,12,Dec,2024
4/14/2024,Dangote Sulfate Resistant Cement,Ogun,Wholesale,7264.16,168,0.98,1208419.17,846827.51,361591.65,Cash,29.92270058,4,Apr,2024
3/30/2024,Dangote Premium Cement,Abuja,Online,6703.67,276,1.68,1819129.34,1394917.14,424212.2,Credit,23.31951834,3,Mar,2024
2/6/2024,Dangote 42.5R Cement,Lagos,Retail,5818.74,491,0.23,2850430.24,2084536.91,765893.32,Cash,26.86939358,2,Feb,2024
10/20/2024,Dangote 42.5R Cement,Abuja,Retail,5915.17,30,2.9,172308.9,123577.76,48731.14,Cash,28.28126696,10,Oct,2024
12/19/2024,Dangote Sulfate Resistant Cement,Lagos,Retail,7344.48,144,1.31,1043750.49,772422.31,271328.18,Paid,25.99550205,12,Dec,2024
7/21/2024,Dangote Sulfate Resistant Cement,Rivers,Wholesale,6833.07,106,0.23,722639.52,551606.98,171032.54,Pending,23.66775346,7,Jul,2024
6/27/2024,Dangote Sulfate Resistant Cement,Ogun,Wholesale,6602.8,151,0.59,991140.37,753504.45,237635.91,Paid,23.97600957,6,Jun,2024
3/31/2024,Dangote 42.5R Cement,Abuja,Online,6559.88,249,2.04,1600088.55,1261197.5,338891.05,Credit,21.17951847,3,Mar,2024
11/17/2024,Dangote Sulfate Resistant Cement,Ogun,Retail,6568.29,246,1.89,1585260.73,1235921.53,349339.2,Paid,22.03670307,11,Nov,2024
6/29/2024,Dangote 3X Cement,Rivers,Retail,5951.91,49,1.11,288406.35,210163.93,78242.42,Paid,27.1292293,6,Jun,2024
11/10/2024,Dangote 42.5R Cement,Abuja,Online,6354.32,425,2.22,2640632.99,1859275.69,781357.3,Pending,29.58977272,11,Nov,2024
6/13/2024,Dangote 42.5R Cement,Kano,Wholesale,6757.72,250,0.31,1684192.77,1330365.23,353827.54,Credit,21.00873168,6,Jun,2024
12/31/2024,Dangote 3X Cement,Kano,Online,5672.56,146,2.12,810636.05,647778.14,162857.92,Pending,20.09014033,12,Dec,2024
7/5/2024,Dangote Sulfate Resistant Cement,Rivers,Retail,6908.77,193,2.04,1306191.4,921173.92,385017.48,Credit,29.47634474,7,Jul,2024
2/3/2024,Dangote Sulfate Resistant Cement,Lagos,Online,7178.38,165,0.76,1175431.01,922897.45,252533.56,Pending,21.48433705,2,Feb,2024
6/19/2024,Dangote 3X Cement,Kano,Online,5641.43,199,0.93,1112203.98,851509.45,260694.53,Cash,23.43945308,6,Jun,2024
3/7/2024,Dangote 3X Cement,Rivers,Online,5876.68,425,0.99,2472862.87,1762605.65,710257.22,Paid,28.72206254,3,Mar,2024
11/26/2024,Dangote 42.5R Cement,Kano,Retail,5818.23,178,0.54,1030052.46,743099.69,286952.77,Cash,27.85807336,11,Nov,2024
4/8/2024,Dangote Premium Cement,Ogun,Wholesale,6077.17,452,2.36,2682054.45,2013603.26,668451.19,Paid,24.92310288,4,Apr,2024
12/4/2024,Dangote Sulfate Resistant Cement,Kano,Wholesale,7097.25,98,0.49,692122.4,542024.93,150097.47,Pending,21.68654995,12,Dec,2024
8/12/2024,Dangote 3X Cement,Abuja,Retail,6176.36,141,2.91,845524.54,643494.52,202030.02,Cash,23.8940457,8,Aug,2024
4/29/2024,Dangote Premium Cement,Rivers,Retail,6903.97,119,1.1,812535.13,645732.25,166802.89,Cash,20.52869886,4,Apr,2024
8/24/2024,Dangote Sulfate Resistant Cement,Abuja,Online,7027.46,102,2.45,699239.3,545494.7,153744.6,Pending,21.98740832,8,Aug,2024
5/8/2024,Dangote 3X Cement,Abuja,Retail,6054.54,72,2.13,426641.64,320659.99,105981.65,Paid,24.84090629,5,May,2024
5/25/2024,Dangote 3X Cement,Ogun,Retail,5949.32,282,0.44,1670326.32,1242300.62,428025.7,Pending,25.62527423,5,May,2024
8/18/2024,Dangote Sulfate Resistant Cement,Lagos,Retail,6553.26,277,1.12,1794922.19,1325759.34,469162.84,Paid,26.13833862,8,Aug,2024
7/10/2024,Dangote Premium Cement,Lagos,Retail,6930.83,449,2.14,3045347.1,2233850.52,811496.58,Pending,26.64709648,7,Jul,2024
3/11/2024,Dangote 3X Cement,Rivers,Retail,6196.07,91,2.28,550986.76,411538.08,139448.68,Paid,25.30889853,3,Mar,2024
2/10/2024,Dangote 3X Cement,Rivers,Wholesale,6334.96,300,2.82,1846894.24,1405279.68,441614.56,Cash,23.91119916,2,Feb,2024
2/26/2024,Dangote Sulfate Resistant Cement,Ogun,Retail,6621.85,142,1.26,928454.89,723628.37,204826.52,Cash,22.06100934,2,Feb,2024
2/2/2024,Dangote 3X Cement,Abuja,Online,6036.05,343,1.55,2038274.49,1476105.78,562168.71,Pending,27.58061845,2,Feb,2024
5/29/2024,Dangote 42.5R Cement,Lagos,Online,6152.82,312,1.25,1895683.84,1452922.48,442761.36,Paid,23.35628709,5,May,2024
9/25/2024,Dangote Sulfate Resistant Cement,Lagos,Online,7044.08,422,2.96,2884612.75,2179080.3,705532.45,Cash,24.45848061,9,Sep,2024
8/28/2024,Dangote 3X Cement,Abuja,Retail,5753.65,28,1.07,159378.41,112641.64,46736.77,Pending,29.32440473,8,Aug,2024
